title,company,location,link
Business Data Analyst,PUBG,서울,https://kr.indeed.com/rc/clk?jk=5fabc892216e1c62&fccid=403118030354e1f2&vjs=3
각 분야별 인재 Pool 등록,지투알,서울,https://kr.indeed.com/rc/clk?jk=e631d46f39019d13&fccid=bc5ebec5dc29475c&vjs=3
테크빌더팀 웹어플리케이션 개발자 (백앤드/프론트앤드),Nexon,성남 분당구,https://kr.indeed.com/rc/clk?jk=9d9f5827c98272c9&fccid=aba87288e4cc3687&vjs=3
데이터 엔지니어 및 사이언티스트,카카오,성남 판교역,https://kr.indeed.com/rc/clk?jk=d8a8869ab092f731&fccid=32b9af632cf3b9f9&vjs=3
데이터 사이언티스트 모집,카카오,성남 판교역,https://kr.indeed.com/rc/clk?jk=0064deb5fa9cbce0&fccid=32b9af632cf3b9f9&vjs=3
엔미디어플랫폼 데이터베이스 관리자 (DBA) 인재 안내,리더스소프트,성남 분당구,https://kr.indeed.com/rc/clk?jk=d0ca27a97ddf91f9&fccid=899ef09e06ec4d9d&vjs=3
"[각 분야별] Java, MySQL, Python 외 정규직",로제타텍,성남 중원구,https://kr.indeed.com/rc/clk?jk=22880c1154a12433&fccid=26a0e6271e2baf16&vjs=3
Senior Analyst - Data Analytics,McKinsey & Company,서울,https://kr.indeed.com/rc/clk?jk=cfc6c4d6a4cd83bd&fccid=6576e7250aa78c3c&vjs=3
네이버 클라우드 플랫폼 기술지원,NIT Service,성남 삼평동,https://kr.indeed.com/rc/clk?jk=e27c921dfbf357ac&fccid=f85375bceacb7147&vjs=3
머신러닝 개발자 모집,넷마블,서울 구로구,https://kr.indeed.com/rc/clk?jk=481f953ccaa4bc96&fccid=e696d83fde5c0f20&vjs=3
NAVER IDC 서버 운영/관리,NIT Service,춘천 동면,https://kr.indeed.com/rc/clk?jk=18b288e9021d899f&fccid=f85375bceacb7147&vjs=3
매칭 데이터분석,Nexon,성남 분당구,https://kr.indeed.com/rc/clk?jk=15edcadd124ad99a&fccid=aba87288e4cc3687&vjs=3
2021년 수시채용-R&D-머신러닝 및 응용소프트웨어개발,에스에프에이,경기도 화성,https://kr.indeed.com/rc/clk?jk=71b1f763acccd622&fccid=3fa03a9cab27a7ee&vjs=3
Modem QA Contractor,聯發科技,경기도 성남,https://kr.indeed.com/rc/clk?jk=bd5ce1a809ec610a&fccid=d545b7e05f2306ac&vjs=3
[AI R&D] ML 엔지니어 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/rc/clk?jk=4f61daa017b07bae&fccid=a1e4e21b1f33cf40&vjs=3
NICLAB과 함께 성장할 금융인공지능 연구개발 팀원,닉컴퍼니,서울 영등포구,https://kr.indeed.com/rc/clk?jk=c18e6a77fd6894b7&fccid=ac891ec567dd0044&vjs=3
"2021년 수시채용-SW개발,제어설계,기구설계",에스에프에이,아산 둔포면,https://kr.indeed.com/rc/clk?jk=a3832e9ad1e98d22&fccid=3fa03a9cab27a7ee&vjs=3
(주)넷타겟 연구원 (웹프론트엔드 개발자),넷타겟,대전 유성구,https://kr.indeed.com/rc/clk?jk=0feb2770202a5be1&fccid=276b39459af9d7fa&vjs=3
[KSTEC] 2021년 경력 사원 (SW개발자),지식시스템,성남 분당구,https://kr.indeed.com/rc/clk?jk=8525eb04feb95444&fccid=3061a9a0f5168def&vjs=3
플랫폼쉴드 시스템 개발,Nexon,성남 분당구,https://kr.indeed.com/rc/clk?jk=b2661d357cf26c8f&fccid=aba87288e4cc3687&vjs=3
Sr Systems Administrator I,Raytheon Intelligence & Space,대한민국,https://kr.indeed.com/rc/clk?jk=78f5465432356e17&fccid=03e5fef1f1c1b85d&vjs=3
TOAST Cloud 운영 및 기술지원,NHN,성남 판교역,https://kr.indeed.com/rc/clk?jk=ad07d6a330fb619a&fccid=a72ebaf825acf7af&vjs=3
Python Programmer,Mofac,서울 서초구,https://kr.indeed.com/rc/clk?jk=df21e3bb5d773616&fccid=6cddb172d498d15c&vjs=3
TOAST Cloud 사업기획/영업,NHN,성남 판교역,https://kr.indeed.com/rc/clk?jk=6b86ea39985912b6&fccid=a72ebaf825acf7af&vjs=3
콘텐츠서비스개발- 데이터엔지니어,Nexon,성남 분당구,https://kr.indeed.com/rc/clk?jk=a4b72e38fb50bde0&fccid=aba87288e4cc3687&vjs=3
Perception Software Engineer - Autonomous Vehicles,NVIDIA,대한민국,https://kr.indeed.com/rc/clk?jk=94e6b51a16f4a0f6&fccid=c267f29f0f85e8b8&vjs=3
경영전략/Data Scientist 경력인재 - 글로벌 우량대기업,에스에프인촌,서울,https://kr.indeed.com/rc/clk?jk=fe70e0dc6af141b8&fccid=629bf66c8ed71fe3&vjs=3
인공지능 교육 컨텐츠 제작자,에이쳐,용인 처인구,https://kr.indeed.com/rc/clk?jk=09dc6e4abecbd481&fccid=247b2017d36c7036&vjs=3
System SW 엔지니어,딥엑스,성남 분당구,https://kr.indeed.com/rc/clk?jk=fc037709d0770796&fccid=e34932b8232a173b&vjs=3
"(주)트윔 개발자(경력직) 빅데이터,영상처리,머신비전/AI 딥러닝",트윔,경기도 화성,https://kr.indeed.com/rc/clk?jk=a0dda478567db352&fccid=8236169ab3bd9551&vjs=3
[유명 신용카드사] DW 개발 및 운영 (과장급),제이앤피에이치알컨설팅,서울,https://kr.indeed.com/rc/clk?jk=e102ecd63f16bc51&fccid=3f942fa553ad1c31&vjs=3
Data Scientist,Toss,서울 강남구,https://kr.indeed.com/rc/clk?jk=7af6301dc691d3ab&fccid=18c4935c8ec646d5&vjs=3
[전문연구요원] ML/DL 연구원 및 SW 개발자,뷰노코리아,서울 서초구,https://kr.indeed.com/rc/clk?jk=73f619e964a56a10&fccid=282d63dcd74d554d&vjs=3
Software Architecture 설계 엔지니어,딥엑스,성남 분당구,https://kr.indeed.com/rc/clk?jk=7df915e1f0f86b2d&fccid=e34932b8232a173b&vjs=3
